condition,bearing_id,fault_type,sample_index,life_ratio,RUL_ratio,HI_bearing
35Hz12kN,Bearing1_1,Outer race,1,0.0,1.0,0.0
35Hz12kN,Bearing1_1,Outer race,2,0.0081967213114754,0.9918032786885246,0.0003729020750931523
35Hz12kN,Bearing1_1,Outer race,3,0.0163934426229508,0.9836065573770492,0.0009965674091872482
35Hz12kN,Bearing1_1,Outer race,4,0.0245901639344262,0.9754098360655736,0.0020180712979210895
35Hz12kN,Bearing1_1,Outer race,5,0.0327868852459016,0.9672131147540984,0.0033443315278563097
35Hz12kN,Bearing1_1,Outer race,6,0.040983606557377,0.9590163934426228,0.005011038688868418
35Hz12kN,Bearing1_1,Outer race,7,0.0491803278688524,0.9508196721311476,0.006644334206282468
35Hz12kN,Bearing1_1,Outer race,8,0.0573770491803278,0.9426229508196722,0.00823837338027527
35Hz12kN,Bearing1_1,Outer race,9,0.0655737704918032,0.9344262295081968,0.00997331805355808
35Hz12kN,Bearing1_1,Outer race,10,0.0737704918032786,0.9262295081967212,0.011975994613946744
35Hz12kN,Bearing1_1,Outer race,11,0.081967213114754,0.918032786885246,0.014011649370192622
35Hz12kN,Bearing1_1,Outer race,12,0.0901639344262295,0.9098360655737704,0.016078382694648202
35Hz12kN,Bearing1_1,Outer race,13,0.0983606557377049,0.9016393442622952,0.01798172135451011
35Hz12kN,Bearing1_1,Outer race,14,0.1065573770491803,0.8934426229508197,0.01971261211595748
35Hz12kN,Bearing1_1,Outer race,15,0.1147540983606557,0.8852459016393442,0.020923167052258305
35Hz12kN,Bearing1_1,Outer race,16,0.1229508196721311,0.8770491803278688,0.021827889279107303
35Hz12kN,Bearing1_1,Outer race,17,0.1311475409836065,0.8688524590163934,0.02251476869007667
35Hz12kN,Bearing1_1,Outer race,18,0.1393442622950819,0.860655737704918,0.023315889691033216
35Hz12kN,Bearing1_1,Outer race,19,0.1475409836065573,0.8524590163934427,0.023719377795668503
35Hz12kN,Bearing1_1,Outer race,20,0.1557377049180328,0.8442622950819672,0.024292924465990552
35Hz12kN,Bearing1_1,Outer race,21,0.1639344262295081,0.8360655737704918,0.025094484278059454
35Hz12kN,Bearing1_1,Outer race,22,0.1721311475409836,0.8278688524590164,0.026029100684400085
35Hz12kN,Bearing1_1,Outer race,23,0.180327868852459,0.819672131147541,0.026797546820113503
35Hz12kN,Bearing1_1,Outer race,24,0.1885245901639344,0.8114754098360656,0.02816799187123305
35Hz12kN,Bearing1_1,Outer race,25,0.1967213114754098,0.8032786885245902,0.029304592710205486
35Hz12kN,Bearing1_1,Outer race,26,0.2049180327868852,0.7950819672131147,0.030529532816478733
35Hz12kN,Bearing1_1,Outer race,27,0.2131147540983606,0.7868852459016393,0.03186668988404525
35Hz12kN,Bearing1_1,Outer race,28,0.221311475409836,0.7786885245901639,0.033163243490263415
35Hz12kN,Bearing1_1,Outer race,29,0.2295081967213114,0.7704918032786885,0.03390849631219017
35Hz12kN,Bearing1_1,Outer race,30,0.2377049180327868,0.7622950819672132,0.03475477945733944
35Hz12kN,Bearing1_1,Outer race,31,0.2459016393442623,0.7540983606557377,0.0351996682776337
35Hz12kN,Bearing1_1,Outer race,32,0.2540983606557377,0.7459016393442623,0.03551497274162085
35Hz12kN,Bearing1_1,Outer race,33,0.2622950819672131,0.7377049180327868,0.03551497274162085
35Hz12kN,Bearing1_1,Outer race,34,0.2704918032786885,0.7295081967213115,0.03584469643873819
35Hz12kN,Bearing1_1,Outer race,35,0.2786885245901639,0.7213114754098361,0.03624675384010391
35Hz12kN,Bearing1_1,Outer race,36,0.2868852459016393,0.7131147540983607,0.03653545616658899
35Hz12kN,Bearing1_1,Outer race,37,0.2950819672131147,0.7049180327868853,0.036656388944896826
35Hz12kN,Bearing1_1,Outer race,38,0.3032786885245901,0.6967213114754098,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,39,0.3114754098360656,0.6885245901639344,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,40,0.319672131147541,0.680327868852459,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,41,0.3278688524590163,0.6721311475409837,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,42,0.3360655737704918,0.6639344262295082,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,43,0.3442622950819672,0.6557377049180328,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,44,0.3524590163934426,0.6475409836065573,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,45,0.360655737704918,0.639344262295082,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,46,0.3688524590163934,0.6311475409836065,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,47,0.3770491803278688,0.6229508196721312,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,48,0.3852459016393442,0.6147540983606558,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,49,0.3934426229508196,0.6065573770491803,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,50,0.4016393442622951,0.5983606557377049,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,51,0.4098360655737705,0.5901639344262295,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,52,0.4180327868852459,0.5819672131147541,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,53,0.4262295081967213,0.5737704918032787,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,54,0.4344262295081967,0.5655737704918034,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,55,0.4426229508196721,0.5573770491803278,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,56,0.4508196721311475,0.5491803278688525,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,57,0.4590163934426229,0.540983606557377,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,58,0.4672131147540984,0.5327868852459017,0.037024887456603386
35Hz12kN,Bearing1_1,Outer race,59,0.4754098360655737,0.5245901639344263,0.037151424784684355
35Hz12kN,Bearing1_1,Outer race,60,0.4836065573770491,0.5163934426229508,0.037151424784684355
35Hz12kN,Bearing1_1,Outer race,61,0.4918032786885246,0.5081967213114754,0.037151424784684355
35Hz12kN,Bearing1_1,Outer race,62,0.5,0.5,0.037151424784684355
35Hz12kN,Bearing1_1,Outer race,63,0.5081967213114754,0.4918032786885246,0.037151424784684355
