day,current,current_theoretical,temperature,speed_rpm,I_obs,I_theo,T,delta_I,current_s,current_theoretical_s,temperature_s,norm_current,norm_temperature,norm_abs_delta,HI2,HI2_like
0,0.1137,0.1097,35.0,3000,0.1137,0.1097,35.0,0.00399999999999999,0.11179677419354839,0.11340129032258064,35.00967741935484,0.0,0.0,0.18498991804946616,0.018498991804946616,0.018498991804946616
1,0.1088,0.109945,35.0,3000,0.1088,0.109945,35.0,-0.0011450000000000071,0.112434375,0.1135255625,35.0125,0.0,0.0,0.05295336404166015,0.005295336404166015,0.005295336404166015
2,0.1154,0.11019,35.0,3000,0.1154,0.11019,35.0,0.005210000000000006,0.11258787878787878,0.1136498787878788,35.012121212121215,0.0,0.0,0.24094936825943056,0.024094936825943058,0.024094936825943058
3,0.1226,0.110436,35.1,3000,0.1226,0.110436,35.1,0.012163999999999994,0.11249411764705881,0.11377426470588235,35.01176470588236,0.0,0.0,0.5625543407884277,0.05625543407884277,0.05625543407884277
4,0.1088,0.110681,35.0,3000,0.1088,0.110681,35.0,-0.0018810000000000077,0.11284285714285715,0.11389871428571428,35.01428571428571,0.0,0.0,0.08699150896276203,0.008699150896276204,0.008699150896276204
5,0.1091,0.110927,35.0,3000,0.1091,0.110927,35.0,-0.0018269999999999953,0.11272499999999999,0.11402322222222222,35.013888888888886,0.0,0.0,0.08449414506909367,0.008449414506909367,0.008449414506909367
6,0.1238,0.111173,35.1,3000,0.1238,0.111173,35.1,0.012627,0.11292972972972973,0.11414778378378378,35.016216216216215,0.0,0.0,0.5839669238026537,0.058396692380265375,0.058396692380265375
7,0.1176,0.111419,35.0,3000,0.1176,0.111419,35.0,0.006180999999999992,0.11267368421052631,0.1142723947368421,35.01578947368421,0.0,0.0,0.28585567086593794,0.028585567086593794,0.028585567086593794
8,0.1079,0.111665,35.0,3000,0.1079,0.111665,35.0,-0.0037650000000000045,0.11256666666666668,0.11439707692307692,35.01538461538461,0.0,0.0,0.17412176036406066,0.017412176036406067,0.017412176036406067
9,0.1163,0.111912,35.0,3000,0.1163,0.111912,35.0,0.004388000000000003,0.1127775,0.11452182500000001,35.0175,0.0,0.0,0.20293394010026503,0.020293394010026503,0.020293394010026503
